단어,빈도수
감옥,1
보복합니다부산,1
돌려차기의,1
정체,1
성폭행,1
의심,1
정황출소,1
보복,1
증언도,1
인생,1
다,1
털렸어요,1
처벌을,1
박수홍,3
아내의,1
호소,5
아내,3
김다예,3
억울해,1
죽고싶다루머,1
고통,3
끝나지,2
않는,1
지옥,1
죽고,1
싶다,1
않은,1
지옥박수홍,1
호소한,1
이유,1
전광훈,5
홍준표황교안,1
보라정치인들,1
통제,1
받아야,1
리스크에,1
내부서,1
절연,1
빗발지도부도,1
거리두기종합,1
장예찬,1
국민의힘,3
영향,1
받아왜곡,1
발언,1
용납,1
안할,1
손절,1
당원도,1
아냐논란,1
안간힘,1
러,4
영국,1
정찰기,1
격추할,1
뻔미,1
유출문서,1
우크라전쟁,1
비화,1
수두룩,1
성남,1
탄천,2
개,2
허공,1
보행로에,1
지지대,1
긴급,1
설치,1
성남시,1
교량에,1
임시,1
구조물,1
설치붕괴예방,1
붕괴,1
정자교와,1
통제중인,1
불정교수내교모두,1
회사가,1
설계,1
정자교,1
붕괴순간,1
우산,1
쓰고,2
달려가는데,1
와르르,1
의원정수,1
줄여야,1
비례,1
위해,1
늘려야전원위서,1
논쟁,1
열리는,1
국회,4
전원위선거제,1
개편,1
논의,1
시작,1
난상토론여야,1
감청,1
공방,1
년만의,1
전원위원회,1
개막소선거구제비례대표,1
난상토론,1
회계자료,3
미제출,1
노조,4
법적조치,3
강구과태료에,1
이어,1
공무집행방해죄,1
제출,2
거부한,1
철저히,2
강구,2
정부,3
과태료,1
부과에,1
이의,1
제기노조,1
회계,1
장부,1
논란,2
법정으로,1
신품종,1
하나,1
때문에,1
소비,1
급감다른,1
토마토는,1
괜찮아요,1
공돈,1
벌,1
방법,1
있다경찰,1
보험사기,1
명,2
고의,1
교통사고로,1
보험사기억대,1
챙긴,1
배달대행,2
선후배들,2
차선,1
변경,1
순간만,1
노렸다보험사기단,1
된,1
식당,1
아줌만줄,1
알았는데,1
벤틀리타고,1
출근하는,1
여성,1
의성,2
당진영덕고속도서,1
전기차승용차,1
충돌명,1
숨져,3
역주행한,1
전기차,1
승용차,1
충돌해,1
운전자,1
경북,1
고속도로서,1
차량,1
정면충돌명,1
사망,4
고속도,1
역주행,1
공포명,1
숨졌다,1
폭넓은,1
의견,1
수렴,1
립서비스일,1
뿐탄소중립계획,1
원안대로,1
의결,1
산업계,2
부담,2
줄인,2
탄소중립,1
녹색성장,1
기본계획,1
사실상,1
확정,1
온실가스감축계획,1
확정환경단체,1
포토,1
탄소중립계획은,1
기후위기,1
역행재수립해야,1
전주을,1
강성희,2
등원민주주의,1
민생정치,1
실현,1
포토강성희,1
진보당,2
당선자,1
등원,1
첫날,1
국회정당,1
정치,1
의원,3
이석기,1
명예회복복권,1
이뤄져야,1
전북도당,1
수석,1
부위원장,1
직무대행,1
체제,1
가동,1
윤희숙,1
양곡법,1
지지,1
헛발질에,1
속,1
터져,1
유유제약,1
당뇨병,1
치료제,1
시장,1
출사표,1
전직,3
씨름선수가,1
층간소음으로,1
이웃,4
때려,4
살해징역,1
개월,2
선고,1
층간소음,3
갈등에시간,1
죽게한,1
씨름선수,3
실형,3
갈등에,1
갈등,2
빚던,1
일행,1
회식장소,1
직접,1
골랐다,1
식당만찬,1
논란에,1
본질,1
외면반일,1
선동,1
횟집,1
만찬에,1
술자리를,2
운운구차,1
운운윤석열,1
권력놀음에,1
취했나,1
뉴스외전,3
경제,2
쏙,2
봄바람,2
타고,2
코스피,3
돌파반도체,2
감산,2
호재,2
지수,1
선,1
돌파,1
마감외국인,1
대량,1
매수,1
마감체크,1
수혜,1
기대감,1
에너지솔루션에코프로,1
차전지주,1
강세,1
인포스탁데일리,1
